리뷰 번호,리뷰 원문,카테고리
117695,쿨내나는 서비스죠 근데 진짜 잔고장 자꾸 나는건 어찌 해결좀 하셔야 할듯해여서비스센터 안가고 그냥 잘 쓰고싶습니다,견고성
117699,흡입은 확실히 만족 만족 좋아요,흡입력
117703,저는 포메엄마다 보니까 정말 털청소하는데 매일 고민인데요건 일단 원터치먼지비움까지 되니 오 좋아요그리구 물걸레까지 한방에 된더니디자인도 세련되서 청소기가 이렇게 이쁠일인가싶어요  청소기 새로사려구 보는중인데 넘 좋네요 요고,유지관리and디자인and디자인
117704,이것도 가볍진 않습니다   대신 원터치로 모든걸 할 수 있어서 행복해요 먼지비움도 자동으로 해주니  꿀,무게and유지관리
117713,금속망 필터 안에 얇은 솔로 청결하게 할 수 있어 한 수 배우고 갑니다  깨끗해야 잘 사용하게 되요,위생
117715,흡입력 좋아요 무게도 그렇게 무겁지 않고,무게
117717,충전도 자동 먼지비움도 알아서 해 주니 뭐 그냥 너무 좋은거 있죠,유지관리
117722,저는 타마h14 로청 구매해서 사용중이에요 요즘 나온 제품이라 그런지 센서가 좋아서 여기저기 박고 다니는 일은 없더라고요 흡입력도 굳,기타and흡입력
117724,우와 깔끔 청소해야 흡입 잘 되고 항상 깨끗 좋아요,흡입력
117729,물걸레 같이 할 수 있으니 너무 좋아요  매번 청소기 돌리고 물걸레질 했는데  이제 원터치로 한번에 다 할 수 있으니 정말 맘 편해요 필터정리나 쓰레기 버리는것도 너무 간편하고  정말 좋습니다,유지관리and유지관리
117730,무선이라 여기저기 디자인도 이뻐서 예전 그런 청소만 하는 가전은 아닌듯요 흡입도 좋고요,디자인and흡입력
117731,먼지 자동 비움이 편하고 좋치요,유지관리and유지관리
117732,먼지 비움이 가장 편하고 최고 득템이에요,유지관리
117743,청소기는 항상 어딘가에 안보이는 곳에 뒀었는데 이건 넘 예뻐서,디자인
117755,저도 엘지무선청소기요 통자동비움기능있는 삼성을 보면서 저게 필요하겠냐 하며 엘지샀는데  오브제청소기가 나올줄이야  산지 한두달만에 통비움되는 오브제청소기가 나와서 후회되더라구요 통비움되는 로봇청소기써보니 통비움 너무 좋아요 무선청소기 통비우기 귀찮아요,유지관리
117773,앗 저도 구매당시에 오브제랑 같이 나와서 고민하다가 굳이 그것까지 필요한가 싶어 오브제 아닌걸로 구매했는데 통비우기 귀찮고 먼지 폴폴날려 너무 싫어요  그래서 저 타워만 따로 구매하려구요 호환가능한 타워나와서 구매가능해요,위생
117783,먼지비움이 아직까지도 완전 신세계에요 너무 편하고 좋아요,유지관리
117784,먼지비움 자동으로 해주는 게 가장 편하죠,유지관리
117788,디자인 짱짱예쁘죠 잘보이는 곳에 놓고싶은 청소기예요,디자인
117796,흡입력은 살짝 아쉽지만 그래도 너무 좋습니다,흡입력
117812,손에 먼지 하나 안 묻히고 먼지통을 비우다니 너무 부럽고 배아픈걸요 전자제품 정말 아껴줘야 오래오래 잘 사용할 수 있는 것 같아요저도 그럼 청소기 필터 청소를 좀 해볼까요,유지관리
117814,저희집 거실에서 인테리어 효과 톡톡히 내주고 있어요  자동 먼지비움 진짜 편해요,디자인and유지관리
117816,저도 초창기 때 고민하다 기존 다이슨 새삥이라 미루다가 이제서야 신형 샀어요  확실히 원터치 물걸레질 다 같이 할 수 있으니 너무 좋아요 대신 흡입력은 좀 약하다보니 냥이 모래나 털  청소 하는게 좀 답답해요 하지만 그냥 한번에 같이 할 수 있으니 넘 좋아요  로봇청소기는 현재 쿠키 때문에 사용 못해요  때려죽일려고 해서 로봇청소기가 좋긴하죠,흡입력
117830,물걸레 청소 따로 하는게 정말 짜증납니다 닦다가 교체해줘야하고  없으면 리필 사고 어우 그렇다고 걸레 계속 로테이션으로 쓰긴 싫고 다이슨 쓸만큼 써서 그냥 과감하게 질렀습니다 내년 이사가실때 신상으로 컬러 내부생각해서 제대로 세팅하세요 디자인도 너무 이뻐서 잘 어울립니다,디자인
117840,9570쓰는데 흡입 엄청 잘되던데요,흡입력
117841,흡입이 좀 약해요 삼성꺼랑 두개쓰는데삼성제품이 더 나은듯요,흡입력
