리뷰 번호,리뷰 원문,카테고리
24635,하얀물방울 많이 생기네요  식기세척기 하고 나서 건조안시키고 물로 한번 헹궈내고 자연건조하면 덜그럴거에요,위생
24636,테트리스도 잘 쌓아야 하고 흥건하지 않고 물기 살짝 맺힐 정도 그릇재질에 따라 다르기도 한데 유리랑 도자기류 다 잘 말라서 나오는 편이에요 엘지 빌트인 쓰고 있고  린스포함된 달리올인원세제 넣고 1시간 반 작동해요 작동후에는 바로 안 꺼내고 한참후에 정리합니당,위생
24640,다끝나면 열리던데요종료응 1분전에전 종료음 시끄러워서 읍앴다는,사운드
24641,물 젖어서 나와요 전 고온건조 돌리는 전기세도 아깝고 어차피 다 돌리고나서는 완전 다 내리고 서랍 다 꺼내서 자연건조 시키기 때문에 상관없더라고요,위생
24642,저희도 안그런데 문열리고 끝난소리나요,사운드
24661,요즘 식세기들 점점 비싸지는데 왜 그런걸까여23시간 돌리는데 제대로 안마르고요그릇 윗부분이 움푹 들어가있는 것들은가끔 물이 남아있긴한데그릇을 똑바로 엎어두지않고 비스듬하게 쌓기땜에아주 약간빼고는 다 마를텐데요,위생
24662,열리고 뜨거운 김 빠지고 난 뒤에 종료음 들려요 십몇분까진 아닌것 같은데 지켜본적이 없긴 하네요,사운드
24691,문 열리고 12분 정도 뒤에 종료음 들려요 몇십분은 아니던뎅,사운드
24762,사고나서 매일 한번씩 돌려봤습니다 3인 가정인데 설거지 안 하니까 저녁이 너무 평화롭네요 아직 식기세척기 고민중이신 분들 최대한 빨리 사세요기계에 여러가지 세척옵션이 있긴한데 어차피 맨날 자동으로 설정하고 작동시켜요뽀득뽀득하게 잘 씻겨요,위생
24770,좋아요 이뻐요 잘세척되요,디자인
24785,실물이 훨씬 고급스러워요 식세기는 엘지가 최고죠,디자인
24787,색깔이 너무 이쁩니다,디자인
24796,구매하고 카드할인행사해서 조금 맘아팠지만제품이 아주 좋아서 만족만족합니다기사님 총 3번 옵니다전화도 아침 일찍 주시구요 모닝콜인줄사전점검가구장탈거설치대리석쪽에 상판고정이 힘들어서 합판대는작업 진행에 35만원 추가비용 든다고 예상했으나 뜯어보니 아예 고정이 힘든구조라 한쪽만 고정했습니다사용하는데 흔들리거나 소음이 생기진 않습니다설치 후 사용 설명도 친절하게 해주시고세제랑 린스 증정받았습니다구매 후 설치까지 3주소요된다는 카톡 받았는데월요일 구매해서 금요일 설치했습니다그것때문에 방문기사님들이랑 조율한다고 잠깐 애먹었는데 빠른 일처리로 수고로움 없이 설치 완료했습니다,소음
24806,색이 예쁘고 좋습니다,디자인
24813,타사 8인용은 아스콘 사용한다길래 엘지로 했는데 냄새는 전혀 없는대신 2인 가구에 코로나로 인해 집밥만 먹으니 용량이 아쉽네요,위생
24817,기존에 있던 가스오븐레인지를 전체 교체해야 설치가 가능해서 고민고민하다 좀 저렴한것같아서 그냥 질렀어요  괜히 고민했네요  진짜 좋아요 가스렌지도 사이즈 맞춰서 인터넷으로 구입하니 딱 좋네요  암튼 이 식세기는 스팀도 되고 정말 맘에 들어요 흰색이 깔끔하네요,디자인
24822,아파트가 아닌 빌라의 배란다에 주방이 있고 중요한건 내집이 아니라 설치가 어려운 조건이었습니다  다행히도 사전 답사해서 프리스텐딩으로 설치가 가능해서 수납장 하단 사용을 포기하며 싱크대의 끝쪽 창가쪽에 설치를 완료 했습니다일정이 안맞아 몇일 지나 설치했지만 저는 빠른 배송에 연연하지는 않는편이라다덜 왜케 빨리 안온다고 닥달하는 걸까요 상품평 들어가면 상품평이 아니라 배송 내용만 가득암튼 LG전자 기사님 일정  맞추어 잘 설치해주셨습니다 통화만하고 설치 할때는 없었지만  전화상에 느낀 친절함이 설치할 때도 매우 친절하게 잘 설치해주고 설명해  주셨다고 합니다배송과 설치는 매우 만족스럽고 감사합니다실사용 이틀째인데 두시간 마무리 단계에서는 냄새가  와이프 말로는 소음방지용 아스콘 냄새라 하는데 납니다  그리고 완벽하게 씻기지는 않는다고두번째 사용날은 세제가 절반만 녹았습니다암튼 설거지  노동에서는 어느정도 해방이 된거 같긴한데잘 써봐야겠습니다,위생and위생and위생
24823,아직  써보지는 않았지만 역시 이쁘네요저렴히 구매했어요,디자인
