리뷰 번호,리뷰 원문,카테고리
72312,흰색이라 깨끗하고  예뻐요기다린 보람 있네요잘 쓰겠습니다,디자인and디자인
72317,가격만 빼면 모든게 괜찮네요 한가지 아쉬운건 아이스메이커의 얼음이 너무 적고 반자동이 아니라는것0,동작편리성
72319,편하고 크고 깨끗하고 좋아요,공간효율성
72322,크기가 맘에들어요  완전 화이트 색상을 찾았는데 아쉬웠지만 살짝 어두운곳에두니 화이트같아서 괜찮아요  올김장은 맛이 있을듯,공간효율성and디자인
72323,칸칸이 용도구분할 수 있어서아주좋아요,공간효율성
72324,칸칸이 서랍식이라 재료를 잘 분리해서 냉동할수있고 확인 하기가 좋습니다자리도 많이 차지 하지않고 디자인이 간결해보이고 예쁩니다,공간효율성and디자인and디자인
72333,배달예상 시간이 많이 갈릴줄 알았는데 정확히 7일 걸렸네요 출근중이라 아들만 있었는데 깔끔하게 설치해줬어요 냉장고 소음은 거의 없고 조용하구요 칸칸이 냉기도 잘 돌아서 음식을 보관해도 며칠씩 신선하게 그대로네요 김치넣고 남는 칸은 일반 음식과 과일 야채 보관중이네요 신선하게 보관되서 좋아요 외관이 깨끗하고 세련되서 괜찮네요 조작버튼도 쉽게 만들어져서 설명서 안보고 조작가능하네요 올해는 오래동안 맛있는 김치 먹게 되서 기분이 좋네요 착한 가격에 후회없이 잘 산거같아요,소음and소음and시인성가독성and디자인and디자인and디자인and디자인and조작편리성
72348,좋습니다4도어최고,공간효율성
72349,동생네 집에도 쓰고 있어서 보고 구입했습니다 좋습니다 많이 들어가고,공간효율성
72353,좋네요  가격도 좋고용량도 넓직하니 사무실이나 원룸용으로 딱,공간효율성
72359,설치 기사님 친절하셨고 제품도 너무 마음에 들어요특히 위 두칸을 냉동으로 사용할 수 있는점이 정말 좋네요제품 하자로 다시 배송 받는 과정에서 LG 측 신속 대응에 만족했고 hmall 상담원 고객 응대 태도는 많이 아쉬웠어요,공간효율성
72364,완전이뻐요 집안 분위기 업특히 배송기간 7일14일로 맘 비웠는데주문하고 다음날 바로도착 왕친절하게설치 해주시고 쓰던거 분해해서 위치도옮겨주시고 폐가전 냉동고김치냉장고도가져가 주시고 200 대만족 입니다,디자인and디자인
72369,저렴하고  디자인도굿 잘쓰고  있습니다ㆍ 직원분들도 매우 친절하게  설치해주고  설명도 덤으로 고맙습니다,디자인
72373,깔끔하고 설치및 조작버튼도 간단해서 대체로 만족합니다 잘사용하겠습니다,조작편리성
72382,일단 안이 깊으니 물건을 많이 적재가 가능해서 너무너무 좋았습니다문쪽에 소스통이나 주스 많은 것들을 넣을 수 있어 좋았지만 한가지 아쉬운건 문쪽에 계란을 못 넣는것입니다그거 말고는 다 좋아요,공간효율성and공간효율성
72388,어머니 집에  선물도 놓아드렸어요 완전 만족  김치통이  기존 대비 완전 크네요,시인성가독성
72390,메탈이 대세라 화이트가 잘 없네요깔끔하니 이뿌고 가격또한 저렴설치기사님까지 친절 삼종세트로 굿 입니다오래 사용되길 바랍니다,디자인and디자인
72391,오  실물이 더 멋져요 메트 블랙 설치기사님도  엘지 물류팀에서  바로 오셔서 전문가답게  잘 설명해주시고 멀티수납 코너도 좋고  아이스 얼리는 것도  엘지이쁘네요 잘나왔어요,공간효율성and디자인
72393,역시 가전은 엘지라는소음도 없고 배송도 엘지 기사님들이 오셔서 아주 좋았어요,소음
72395,엘지 디오스의 본제품은 수납 용량이 넉넉하고 품질 즉 냉동냉장력과 모터의 정숙성이 우수하여 매우 만족스럽습니다 또한 회이트의 바디 색상은 시각적으로 깔끔할 뿐 아니라 어느곳 어떤 인테리어와도 잘 어울리는 장점이 있어 아주 좋습니다,공간효율성and공간효율성and기타and기타and디자인
72398,엄마가 만족하시네요 김치통이 스텐 구성이면 더 좋았겠어요,기타
72400,엄마집에 놔 드렸는데 너무 좋아하시네요 흰색상도 마음에 들어하시고 배송도 빠르고 친절  감사합니다,디자인
72404,어머니 선물해드렸는데 엄청 좋아하세요 냉장고는 백색만 있는 줄 알았는데 스뎅 느낌 나서 좋다며 고오급져보인다고 좋아하십니다,디자인
72406,아주아주 큰 마음 먹고 김치냉장고를 질렀습니다 대만족하며 사용하고 있습니다 소음 제로 성능은 최고입니다 디자인도 너무 예쁘구요 기능도 다양하게 설정할 수 있도록 디테일이 좋습니다 구입 김치 보관 기능도 아주 마음에 듭니다 엘지 김치 냉장고 최고입니다,디자인and소음
72410,싱크대보다 튀어나오는 것이 싫어서 선택했습니다 수납이 잘되어 있어 용량대비 깔끔하고 넓게 사용할 수 있습니다,공간효율성and공간효율성
72413,소음은 좀 있구요배송이 좀 그래여가전배송들은 다들 당일에 연락주고 오시더라구요그래두 판매자님 응대 잘해주셔서 원하는날짜에 잘받게되어 감사합니다,소음
72414,소음도 적고 깔끔하게 생겨서 마음에 듭니다 성능은 시간이 지나봐야 알겠지요 생각보다 크기는 좀 큽니다,소음and디자인
72422,색상이랑 성능 마음에 듭니다,디자인
72440,배송은 주말 끼우고 10일정도 걸렸네요전날 배송안내문 카톡오고 당일 오전에 시간 알려줘요매장에 비하면 많이 저렴합니다 그리고 냉장고가 깊고 많이 들어가요색상도 고급직 이뻐요,공간효율성and공간효율성and디자인and디자인
72441,배송은 좀 늦었지만 기사님 친절하시고 디지인도 까금하니 맘에 들어요,디자인
72446,만족해요 용량도 꾀커서 여유있게 넣을수 있을꺼 같아요배송은 10일걸렸어요여유있게 주문해야 할것 같아요,공간효율성
72454,배송기사님들 친절하시고 배송도 빨라서 좋았어요김치냉장고도 기능도 다양하고 사용하던 구모델에 비해 김치통도 크고 여러모로 만족스럽네요,기타
72455,배송기사님도 친절하시고 디자인 색깔 다 맘에 들어요,디자인and디자인and디자인
72457,배송 엄청 빨라서 김장 전에 잘받았네용사진보다 색상도 고급지고 이뻐요 감사합니당,디자인and디자인and디자인
